#ZVView-data-copy:  26-Feb-2021 17:14:37
#=======================================
#
#name:   JENDL-4.0: AL-27(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2566
#data...
#            X            Y
#          MeV        barns
    5.20031e-5      1.41689 
    5.61672e-5      1.41663 
    6.15235e-5      1.41632 
     6.8338e-5      1.41597 
    7.53794e-5      1.41563 
    8.19895e-5      1.41534 
    8.98084e-5      1.41502 
    9.83681e-5      1.41468 
   0.000107749      1.41434 
   0.000118018      1.41398 
   0.000127475      1.41367 
   0.000138653      1.41331 
   0.000149756      1.41298 
   0.000161755      1.41262 
   0.000175939      1.41221 
   0.000191368      1.41178 
   0.000206691      1.41137 
   0.000223252      1.41093 
    0.00024283      1.41042 
   0.000258625      1.41002 
   0.000281304      1.40945 
   0.000308131      1.40879 
   0.000335151      1.40814 
   0.000364541      1.40744 
   0.000399286      1.40662 
     0.0004343       1.4058 
   0.000469098        1.405 
    0.00050666      1.40413 
   0.000547257      1.40321 
   0.000595246      1.40212 
   0.000651633      1.40085 
   0.000718775      1.39935 
   0.000804021      1.39745 
   0.000880695      1.39575 
    0.00097144      1.39375 
    0.00101711      1.39275 
    0.00114063      1.39004 
    0.00127591      1.38709 
    0.00142178      1.38391 
    0.00159303      1.38018 
    0.00175717      1.37662 
    0.00190396      1.37343 
     0.0020654      1.36993 
    0.00227822      1.36532 
    0.00253157      1.35984 
    0.00282025       1.3536 
    0.00315384      1.34639 
    0.00340258      1.34103 
     0.0035986       1.3368 
    0.00381136      1.33222 
         0.004      1.32816 
    0.00415221      1.32489 
    0.00428434      1.32206 
    0.00439939      1.31959 
    0.00449271       1.3176 
    0.00455245      1.31632 
    0.00461668      1.31496 
    0.00469786      1.31323 
    0.00476878      1.31173 
    0.00480424      1.31143 
    0.00487073      1.31087 
    0.00492392      1.31042 
    0.00496381      1.31009 
     0.0050037      1.30977 
    0.00503473      1.30952 
    0.00505246      1.30938 
    0.00508792       1.3091 
    0.00512338      1.30977 
    0.00515884      1.31045 
    0.00518544      1.31096 
    0.00521203      1.31147 
    0.00523863        1.312 
    0.00526522      1.31253 
    0.00529181      1.31307 
    0.00530068      1.31325 
    0.00530954      1.31391 
    0.00532728      1.31525 
    0.00534501      1.31658 
    0.00536273      1.31793 
    0.00538046      1.31928 
    0.00539819      1.32065 
    0.00540706      1.32133 
    0.00542479      1.32271 
    0.00544252      1.32574 
    0.00546247      1.32916 
    0.00547576      1.33145 
    0.00548906      1.33376 
    0.00550236      1.33608 
    0.00551344      1.33802 
    0.00551566      1.33871 
    0.00552895      1.34286 
    0.00554225      1.34702 
    0.00555555       1.3512 
    0.00556663      1.35471 
    0.00556885      1.35578 
    0.00557882      1.36064 
    0.00558879      1.36551 
    0.00559877       1.3704 
    0.00560652      1.37422 
    0.00560874      1.37575 
    0.00561871      1.38264 
    0.00562869      1.38957 
    0.00563312      1.39267 
    0.00563866      1.39788 
    0.00564863       1.4073 
    0.00565528      1.41361 
