#ZVView-data-copy:  26-Feb-2021 18:27:25
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,G)AL-28
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6537
#data...
#            X            Y
#          MeV        barns
    0.00196053  0.000680353 
    0.00212246  0.000651553 
    0.00230858  0.000623746 
    0.00249589  0.000599695 
    0.00269688  0.000578355 
    0.00289555  0.000560738 
    0.00311879  0.000545151 
    0.00331417  0.000534889 
    0.00352991   0.00052698 
     0.0037329  0.000523448 
    0.00377285   0.00052326 
    0.00394199  0.000524771 
    0.00409223  0.000529369 
    0.00423263  0.000537524 
    0.00433374  0.000546394 
    0.00443841  0.000558797 
    0.00452903  0.000573071 
     0.0046069  0.000588529 
    0.00467611  0.000605571 
    0.00475963  0.000631215 
    0.00481454  0.000651992 
    0.00486645  0.000674925 
    0.00491836  0.000702093 
    0.00497027  0.000734369 
    0.00500488  0.000759298 
    0.00503949  0.000787477 
     0.0050741  0.000819458 
     0.0051087  0.000855918 
    0.00514331  0.000897692 
    0.00517792  0.000945819 
    0.00520387  0.000986972 
    0.00522983   0.00103287 
    0.00525579   0.00108483 
    0.00528174   0.00114326 
     0.0053077   0.00121006 
      0.005325   0.00125963 
     0.0053423   0.00131394 
    0.00535961    0.0013736 
    0.00537691   0.00143933 
    0.00539422   0.00151197 
    0.00541152   0.00159251 
    0.00542017    0.0016356 
    0.00543748   0.00173018 
    0.00545478   0.00183602 
    0.00547425    0.0019704 
    0.00548722   0.00207091 
     0.0055002   0.00218145 
    0.00551318   0.00230327 
    0.00552616   0.00243794 
    0.00553914   0.00258733 
    0.00555211   0.00275365 
    0.00556509   0.00293953 
    0.00557807   0.00314818 
     0.0055878   0.00332191 
    0.00559754    0.0035125 
    0.00560727   0.00372218 
      0.005617   0.00395361 
    0.00562674    0.0042099 
    0.00563647   0.00449477 
     0.0056462   0.00481263 
    0.00565594   0.00516875 
    0.00566242   0.00543029 
    0.00567216   0.00586293 
    0.00567865   0.00618326 
    0.00568514   0.00653341 
    0.00569162   0.00691614 
    0.00569811    0.0073356 
     0.0057046   0.00779663 
    0.00571109    0.0083049 
    0.00571758   0.00886707 
    0.00572407   0.00949103 
    0.00573056    0.0101862 
    0.00573542    0.0107609 
    0.00574029    0.0113875 
    0.00574516    0.0120723 
    0.00575002    0.0128229 
    0.00575489    0.0136479 
    0.00575976    0.0145574 
    0.00576462    0.0155634 
    0.00576917    0.0166017 
    0.00577355    0.0177069 
    0.00577793    0.0189284 
    0.00578231    0.0202816 
    0.00578669    0.0217856 
    0.00579096    0.0234246 
    0.00579501    0.0251648 
    0.00579907    0.0271091 
    0.00580177    0.0285335 
    0.00580448    0.0300738 
    0.00580718    0.0317423 
    0.00580988    0.0335522 
     0.0058134    0.0361466 
    0.00581664     0.038824 
    0.00581989    0.0418157 
    0.00582205     0.044008 
    0.00582421    0.0463784 
    0.00582638    0.0489465 
    0.00582854    0.0517347 
    0.00583049    0.0544537 
    0.00583243    0.0573934 
    0.00583438    0.0605783 
    0.00583633    0.0640364 
    0.00583827    0.0677997 
    0.00584022    0.0719049 
    0.00584217    0.0763947 
    0.00584411    0.0813183 
    0.00584638    0.0876881 
     0.0058479     0.092359 
    0.00584941    0.0974124 
    0.00585093     0.102891 
    0.00585244     0.108843 
    0.00585396     0.115323 
    0.00585547     0.122395 
    0.00585681      0.12921 
    0.00585856     0.138998 
    0.00586031     0.149931 
    0.00586148     0.157947 
    0.00586265     0.166621 
    0.00586382     0.176024 
    0.00586499     0.186241 
    0.00586622     0.198012 
    0.00586752     0.211637 
    0.00586881     0.226699 
    0.00587011     0.243403 
    0.00587119     0.258753 
    0.00587249     0.279134 
    0.00587336     0.294063 
    0.00587422     0.310197 
    0.00587509     0.327666 
    0.00587595     0.346615 
    0.00587682     0.367212 
    0.00587768     0.389644 
    0.00587855     0.414127 
    0.00587941     0.440908 
    0.00588028     0.470266 
    0.00588114     0.502523 
    0.00588201     0.538049 
    0.00588287     0.577265 
    0.00588374     0.620654 
     0.0058846     0.668767 
    0.00588525      0.70833 
     0.0058859     0.751197 
    0.00588655     0.797693 
     0.0058872      0.84817 
    0.00588785     0.903007 
     0.0058885     0.962609 
    0.00588915       1.0274 
     0.0058898      1.09783 
    0.00589044      1.17434 
    0.00589109      1.25738 
    0.00589174      1.34735 
    0.00589239      1.44461 
    0.00589304      1.54943 
    0.00589369      1.66197 
    0.00589455      1.82396 
    0.00589542      1.99893 
    0.00589628       2.1853 
    0.00589758      2.48007 
    0.00589942      2.90162 
    0.00590039      3.10852 
    0.00590126      3.27179 
    0.00590191      3.37671 
    0.00590256      3.46328 
    0.00590321      3.52893 
    0.00590385      3.57163 
     0.0059045      3.59003 
    0.00590466      3.59075 
    0.00590527       3.5796 
    0.00590589      3.54645 
     0.0059066       3.4816 
    0.00590732      3.39083 
    0.00590803      3.27741 
    0.00590874      3.14527 
    0.00590981      2.92121 
     0.0059116      2.51378 
     0.0059129      2.21812 
    0.00591393      1.99407 
    0.00591471      1.83663 
    0.00591549      1.68962 
    0.00591627      1.55359 
    0.00591705      1.42863 
    0.00591783      1.31446 
    0.00591861      1.21058 
    0.00591939      1.11632 
     0.0059199      1.05847 
    0.00592051     0.995652 
    0.00592112     0.937542 
    0.00592172     0.883781 
    0.00592233      0.83403 
    0.00592293     0.787967 
    0.00592354     0.745292 
    0.00592414     0.705724 
    0.00592475     0.669004 
    0.00592544     0.630219 
    0.00592613      0.59452 
    0.00592683     0.561614 
    0.00592752     0.531239 
    0.00592821     0.503158 
     0.0059289     0.477159 
    0.00592994     0.441655 
    0.00593072     0.417483 
    0.00593158     0.392817 
    0.00593245     0.370219 
    0.00593332     0.349471 
    0.00593418     0.330384 
    0.00593504      0.31279 
    0.00593591     0.296542 
    0.00593721     0.274411 
    0.00593822     0.258739 
    0.00593924     0.244356 
    0.00594026     0.231127 
    0.00594127     0.218932 
    0.00594229     0.207667 
    0.00594382     0.192316 
    0.00594534     0.178591 
    0.00594675     0.167191 
    0.00594815     0.156846 
    0.00594956     0.147429 
    0.00595096     0.138834 
    0.00595237     0.130966 
    0.00595378     0.123746 
    0.00595518     0.117103 
    0.00595659      0.11098 
     0.0059581     0.104905 
    0.00595962     0.099316 
    0.00596113    0.0941617 
    0.00596264    0.0893988 
    0.00596492    0.0829055 
    0.00596719    0.0770961 
     0.0059687    0.0735569 
    0.00597065    0.0693546 
    0.00597259    0.0655037 
    0.00597454    0.0619662 
    0.00597649    0.0587091 
    0.00597843    0.0557035 
    0.00598135    0.0516126 
    0.00598427    0.0479592 
    0.00598687    0.0450301 
    0.00598947    0.0423635 
    0.00599206    0.0399294 
    0.00599466    0.0377026 
    0.00599725    0.0356611 
    0.00599985    0.0337839 
    0.00600244    0.0320509 
    0.00600504    0.0304471 
    0.00600818    0.0286657 
    0.00601131    0.0270388 
    0.00601445    0.0255491 
    0.00601758    0.0241814 
    0.00602072    0.0229225 
    0.00602386    0.0217609 
    0.00602856    0.0201801 
    0.00603337    0.0187382 
    0.00603824    0.0174351 
    0.00604311    0.0162675 
    0.00604797    0.0152164 
    0.00605284    0.0142654 
    0.00605771    0.0134032 
    0.00606257    0.0126192 
    0.00606744    0.0119041 
    0.00607231    0.0112502 
    0.00607555    0.0108448 
    0.00608204    0.0100996 
    0.00608853    0.0094315 
    0.00609502   0.00883033 
    0.00610151   0.00828739 
      0.006108   0.00779541 
    0.00611557   0.00727761 
    0.00612314   0.00681255 
    0.00613071   0.00639509 
    0.00613828   0.00601646 
    0.00614477   0.00571912 
     0.0061545    0.0053154 
    0.00616423    0.0049561 
    0.00617397   0.00463494 
     0.0061837   0.00434668 
    0.00619343   0.00408696 
    0.00620317   0.00385209 
     0.0062129     0.003639 
    0.00622263   0.00344506 
    0.00622912   0.00332534 
     0.0062421   0.00310609 
    0.00625508   0.00291071 
    0.00626806   0.00273568 
    0.00628103   0.00257841 
    0.00629401   0.00243645 
    0.00630699   0.00230796 
    0.00631997   0.00219121 
    0.00633295    0.0020849 
    0.00635457   0.00192799 
    0.00637188    0.0018173 
    0.00638918   0.00171817 
    0.00640649   0.00162902 
    0.00642379   0.00154856 
    0.00644109   0.00147569 
     0.0064584   0.00140947 
     0.0064757   0.00134912 
      0.006493   0.00129395 
    0.00651896   0.00121985 
    0.00654492   0.00115414 
    0.00657087   0.00109614 
    0.00659683   0.00104421 
    0.00662278  0.000997925 
    0.00666604  0.000930791 
    0.00670065  0.000884591 
    0.00673526  0.000843937 
    0.00676987  0.000807967 
    0.00680447  0.000775976 
    0.00683908  0.000747393 
    0.00687369  0.000721764 
     0.0069256   0.00068796 
    0.00697751  0.000658766 
    0.00702942  0.000633515 
    0.00708133  0.000611759 
    0.00711594  0.000597981 
    0.00718516  0.000574442 
    0.00725437  0.000554285 
    0.00731493  0.000538923 
    0.00740578  0.000519258 
    0.00749662  0.000502446 
    0.00760045  0.000486521 
    0.00768891  0.000475173 
    0.00777348  0.000465071 
    0.00792922  0.000450078 
    0.00808495  0.000437987 
     0.0082901  0.000425468 
    0.00849733  0.000415364 
    0.00876847  0.000405295 
    0.00908298  0.000396677 
    0.00943149  0.000389699 
     0.0098288  0.000384171 
     0.0102261  0.000380602 
     0.0107803  0.000377919 
      0.011255  0.000377232 
     0.0120314  0.000379056 
      0.012814  0.000383634 
     0.0134388  0.000389064 
       0.01406  0.000395985 
     0.0146635  0.000404164 
     0.0152884  0.000414196 
     0.0159025  0.000425675 
     0.0164018  0.000436262 
     0.0172208  0.000456195 
     0.0179134  0.000475952 
     0.0185785  0.000497999 
     0.0192682  0.000524141 
     0.0198155  0.000547708 
      0.020353  0.000573471 
     0.0209061  0.000603674 
     0.0213156  0.000628349 
     0.0217251  0.000655389 
     0.0221345  0.000685084 
     0.0223861  0.000704427 
     0.0227927  0.000738835 
       0.02323  0.000780131 
     0.0236477  0.000823697 
     0.0239959  0.000864844 
      0.024137  0.000885401 
     0.0241913  0.000897612 
     0.0242192  0.000908676 
     0.0242316  0.000916724 
      0.024244  0.000929302 
     0.0242533  0.000944702 
     0.0242595  0.000960457 
     0.0242642  0.000977432 
     0.0242673  0.000992729 
     0.0242699   0.00100939 
      0.024272   0.00102665 
     0.0242742   0.00104883 
     0.0242758   0.00107035 
     0.0242774   0.00109847 
     0.0242784   0.00112278 
     0.0242795   0.00115367 
     0.0242803   0.00118285 
     0.0242811   0.00121898 
     0.0242819   0.00126428 
     0.0242824   0.00130096 
      0.024283   0.00134404 
     0.0242835   0.00139474 
      0.024284   0.00145452 
     0.0242846   0.00152506 
      0.024285   0.00158617 
     0.0242854   0.00165533 
     0.0242858   0.00173354 
     0.0242861   0.00181062 
     0.0242866   0.00191844 
     0.0242869   0.00200905 
     0.0242872   0.00210882 
     0.0242875   0.00221859 
     0.0242879   0.00233916 
     0.0242882   0.00247143 
     0.0242885   0.00261623 
     0.0242888   0.00277464 
     0.0242892   0.00294747 
     0.0242895    0.0031358 
     0.0242898   0.00334059 
     0.0242902   0.00356291 
     0.0242905   0.00380367 
     0.0242908   0.00406391 
     0.0242911   0.00434448 
     0.0242915   0.00464663 
     0.0242918   0.00497091 
      0.024292   0.00519983 
     0.0242924   0.00568953 
     0.0242929   0.00622271 
     0.0242933   0.00682778 
     0.0242938   0.00748274 
     0.0242942   0.00818832 
     0.0242947   0.00894417 
     0.0242952   0.00974985 
     0.0242956    0.0106034 
     0.0242963    0.0119687 
      0.024297    0.0134781 
     0.0242978    0.0152784 
     0.0243002    0.0210112 
     0.0243013    0.0232468 
     0.0243021    0.0249872 
     0.0243029    0.0262861 
     0.0243035    0.0272434 
     0.0243041    0.0279117 
     0.0243048    0.0285189 
     0.0243053    0.0288331 
     0.0243059    0.0289768 
     0.0243061    0.0289856 
     0.0243065    0.0289179 
     0.0243071    0.0286744 
     0.0243077    0.0282375 
     0.0243082    0.0277313 
     0.0243088    0.0269767 
     0.0243095    0.0258682 
     0.0243102    0.0246185 
      0.024311    0.0228568 
     0.0243121    0.0203564 
     0.0243142    0.0154744 
      0.024315    0.0136425 
     0.0243158    0.0120885 
     0.0243162    0.0111076 
     0.0243167    0.0101763 
     0.0243172   0.00929764 
     0.0243177   0.00847433 
     0.0243182    0.0077074 
     0.0243187   0.00699748 
     0.0243191   0.00641779 
     0.0243195   0.00588148 
     0.0243199   0.00538725 
     0.0243204   0.00493385 
     0.0243207   0.00461936 
      0.024321    0.0043262 
     0.0243213   0.00405336 
     0.0243216   0.00380005 
      0.024322   0.00356524 
     0.0243223   0.00334808 
     0.0243226   0.00314758 
     0.0243229   0.00296294 
     0.0243232   0.00279302 
     0.0243236    0.0026371 
     0.0243239   0.00249415 
     0.0243242   0.00236336 
     0.0243245   0.00224382 
     0.0243248   0.00213477 
     0.0243253   0.00200429 
     0.0243256   0.00191479 
